N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
133,현대차우,"78,700",0,0.00%,"5,000","19,169","24,357",57.51,"28,884",3.49,N/A,
134,한전기술,"49,950",250,-0.50%,200,"19,091","38,220",2.56,"111,394",112.00,3.25,
135,휠라홀딩스,"30,800",350,-1.12%,"1,000","18,712","60,752",41.11,"182,879",8.91,16.20,
136,LIG넥스원,"83,900","5,800",-6.47%,"5,000","18,458","22,000",10.53,"593,320",12.42,14.63,
137,DB하이텍,"41,500",600,+1.47%,"5,000","18,425","44,399",24.15,"486,558",3.49,33.35,
138,TIGER 200,"29,075",0,0.00%,0,"18,404","63,300",0.00,"975,741",N/A,N/A,
139,한화,"24,500",500,+2.08%,"5,000","18,365","74,959",17.31,"179,274",2.29,20.22,
140,코스모신소재,"59,800","4,600",+8.33%,"1,000","18,329","30,651",8.02,"743,438",74.19,9.42,
141,TIGER 미국S&P500,"13,030",225,-1.70%,0,"18,118","139,050",0.45,"876,025",N/A,N/A,
142,대한전선,"1,450",15,-1.02%,100,"18,045","1,244,473",2.03,"6,635,050",38.16,7.78,
143,한화생명,"2,070",50,+2.48%,"5,000","17,979","868,530",7.29,"1,537,139",1.71,10.79,
144,농심,"295,000","1,000",+0.34%,"5,000","17,944","6,083",13.28,"10,297",15.83,4.73,
145,CJ대한통운,"78,400","2,600",-3.21%,"5,000","17,885","22,812",18.40,"68,253",9.81,1.59,
146,하이트진로,"24,600",50,-0.20%,"5,000","17,253","70,134",12.92,"84,501",18.32,6.62,
147,대웅제약,"145,500","2,000",-1.36%,"2,500","16,858","11,587",8.61,"21,078",23.18,4.39,
148,대우건설,"4,050",105,-2.53%,"5,000","16,833","415,623",11.14,"1,262,634",4.01,16.47,
149,LX인터내셔널,"43,050",300,+0.70%,"5,000","16,686","38,760",30.98,"164,813",3.18,22.49,
150,두산퓨얼셀,"24,900",400,-1.58%,100,"16,308","65,494",14.29,"521,135",211.02,1.69,
151,오뚜기,"441,500","4,000",-0.90%,"5,000","16,212","3,672",12.00,"2,451",10.84,8.91,
152,TIGER TOP10,"9,580",10,+0.10%,0,"16,066","167,700",1.74,"220,591",N/A,N/A,
153,KODEX 삼성그룹,"8,290",55,+0.67%,0,"16,049","193,600",1.94,"359,194",N/A,N/A,
154,TIGER 단기통안채,"101,460",5,0.00%,0,"15,693","15,467",4.91,"505,401",N/A,N/A,
155,효성,"74,100",700,+0.95%,"5,000","15,614","21,071",5.26,"23,142",5.22,18.04,
156,현대위아,"57,000",200,-0.35%,"5,000","15,501","27,195",10.64,"105,421",6.85,1.96,
